Volume,Radius,X,Y
5169,0,1435.73479313819,11294.4284967916
7221,0,1732.69272777357,16045.7282418566
2825,0,1998.20110099464,19329.6334342384
7699,0,2461.51297277544,19109.9278366527
6074,0,3056.32585761196,18789.8242656526
8954,0,4007.07827872412,18156.1798103048
7576,0,4327.99934656639,38271.8814326224
10745,0,4586.06196611931,37752.7339331202
17747,0,4798.00351479515,42134.6262665885
11230,0,5300.27347109412,18751.7860811549
5318,0,5307.38984044141,19189.9100257638
9246,0,5450.223376024,18980.7245875159
2107,0,8862.40872575139,39052.9445833702
1382,0,9851.13803569532,38760.1744408981
3087,0,10556.2661166066,35518.1959702785
1898,0,12315.1783656813,35477.4410426449
4870,0,12116.5555868189,24596.8560359288
6012,0,12874.9817078482,24102.2259225923
1183,0,15691.7445972495,33824.9821928688
2362,0,15960.159347033,33209.5503034514
2100,0,15943.9629370692,33660.9301675227
2138,0,19854.5399455924,12561.4647250615
2743,0,22202.5183809877,32271.4367174155
3121,0,22798.919253955,32337.7891956703
1564,0,22998.6408235846,31952.110223498
1973,0,28091.6390161322,33463.8143796057
2693,0,29317.7604390088,4302.23921872861
1592,0,30039.0621043882,31036.3860702031
1936,0,30892.6100122806,4210.88979749091
1780,0,31186.3731259404,4006.92663294719
2066,0,39064.0882686289,10465.5493022076
7836,0,48031.0167649405,5223.87723548757
3133,0,53.8986334229847,37432.2052409682
2230,0,4162.6899849498,1822.63055571431
2026,0,5370.53985301953,4313.50959432375
1207,0,5527.4161033723,21700.3007431751
748,0,5626.94785574102,4870.24755163904
1097,0,5700.51834517545,4273.43965370905
4277,0,5880.46523299011,4698.73714752065
1502,0,6300.88640773984,5200.65430193216
1009,0,6584.54835966424,48374.3584692643
1673,0,9553.31131875632,26950.1526663058
1058,0,9884.7202579393,27285.3335055016
935,0,10499.6304001499,45688.1423671633
1582,0,11245.7258134579,14798.4786403681
1164,0,11568.1829107497,15469.6355273328
1074,0,11953.8539236531,24561.6948806226
987,0,11910.992808244,20328.12146345
2046,0,12303.5184559281,26508.3717531522
1025,0,13209.3966078109,39764.1184275574
6978,0,13329.3236484372,4033.58322899432
9997,0,15844.0574975849,35794.9490858349
5352,0,15895.8339091669,23439.4300083589
4383,0,16136.6835856806,23977.5235618636
2098,0,16236.4727538237,23425.7641034509
1762,0,16393.2401081483,26137.1757172334
