Volume,Radius,X,Y
2146,0,1192.06240439789,43946.8584040562
7598,0,1112.129946233,30729.8602058101
5778,0,2484.98975251353,47604.27826963
10093,0,4586.0750680188,29736.1966224201
5485,0,4759.15220372336,29660.4548835191
5580,0,4628.14415962545,39653.263204311
3900,0,5053.80917045552,29692.8228532212
6237,0,6434.19222265018,35102.0428524557
2359,0,6792.64567886411,35008.7520187314
5683,0,7435.68429694824,35480.7375818769
5832,0,7423.79434573267,36072.3115173207
6714,0,8359.97823143002,28503.625659424
6030,0,9869.73574929846,17953.7891751274
5841,0,9973.88507921333,49199.6954179186
6099,0,10085.703198407,35281.4304470925
6418,0,14645.8542582254,30044.0109276636
3557,0,17514.7219242617,38958.3517816484
5606,0,19824.2989336977,25282.9472816357
8836,0,20240.5033050271,12397.3334556322
3253,0,1151.07602250266,52605.9380796716
6087,0,1777.23398224873,7462.82668238394
1326,0,1515.20392417352,52761.7439272393
5363,0,6630.26430912459,49478.6801880967
8111,0,7147.63328065323,50565.8942282365
4859,0,7491.04328504416,45886.9555442288
6594,0,8281.51193815935,35864.3371208383
1942,0,10116.1657615765,52776.8897957856
3354,0,17451.8697266422,8841.23867809057
3178,0,18050.0257041989,746.082550890107
1735,0,18183.7120025668,331.806073692517
5045,0,24155.6920309081,58731.9781709542
3100,0,24860.445652792,59406.9932901171
3360,0,27990.2803127391,6533.74567599519
7393,0,27876.5821495094,29638.302821435
5243,0,28134.9214320571,6361.01867707733
3781,0,28295.4604011631,25574.114952442
6625,0,28632.9590376575,26423.7165990138
3845,0,30342.1359896965,37496.9347259116
3501,0,31816.4448190909,29414.2425679919
3596,0,32830.4078131917,27672.2447985834
641,0,32917.5289156971,25263.6841857008
2828,0,33492.6012160465,7443.45958627982
6415,0,33688.6677272076,7399.61551677511
4770,0,35062.4915162455,32209.3081227437
3278,0,35240.6241233044,26387.4331471449
1726,0,35527.7642041456,25461.3260361637
879,0,36973.0439294964,33888.1370576764
613,0,36958.7565204737,34843.6560995813
3475,0,37316.0746926432,34048.6315365561
6780,0,37169,34052.5
666,0,39690.9294015812,21252.0290264874
