Volume,Radius,X,Y
564,0,11743.4223142767,9416.0030103136
753,0,11878.7249522782,12431.1479826902
370,0,12671.7384531883,8928.11522795827
900,0,13427.8424219668,13528.5611460921
815,0,13795.933094749,8376.57759340095
803,0,14061.4374029916,22283.7146372029
829,0,14203.0197753303,21526.7841650874
196,0,14838.3873441465,12549.3833167825
578,0,15403.7985052023,5743.21379045
668,0,17469.0631123562,8284.90792497428
1426,0,1012.1852464337,29505.2034217888
1656,0,1600.04080389769,29540.3617181343
2318,0,2947.89754970511,8475.57627530857
7989,0,3307.22679668356,8344.95421436004
2412,0,8642.04620050048,16705.3588732892
1324,0,14696.0539747032,37382.3386429351
5024,0,14511.4161625108,13419.0349707162
820,0,14904.3897893389,13156.150211986
1413,0,17670.1005630932,23910.1815846448
5366,0,18762.4658673227,6348.93308335309
1825,0,19415.3235908142,26642.7129436326
1484,0,19705.2941624621,1184.95346931735
1416,0,19863.9681915315,26995.6094736842
5027,0,20971.9389696182,48077.0339315026
5665,0,22460.8635621252,24582.5882158714
1331,0,23104.3569175756,37782.0381321069
6926,0,23955.288641694,23533.1112443879
5022,0,24416.0760956445,23548.6219535325
4046,0,24700.7058520703,24202.2952811708
807,0,25065.1169537224,27600.8661678952
1147,0,25125.7026484751,28117.5258541619
5652,0,28793.0482431085,21382.0343425518
4399,0,29395.3431432838,20323.3845734868
291,0,32213.1752725121,28058.308391932
2736,0,33608.4847838837,34891.7909473416
4445,0,33561.8914089943,34686.7950821805
6869,0,35699.0092757515,26027.4430575727
4413,0,44023.2460265694,13713.6115821891
1531,0,47458.7560608015,31617.587085517
840,0,47287.7465638124,31031.2659497309
1076,0,48238.1250813743,13330.8669508587
1320,0,56162,23945
1022,0,56162,25233
3666,0,56162,25345
1573,0,56162,26363
1096,0,56162,27043
1344,0,56162,27067
1561,0,56162,27187
1212,0,56162,27307
655,0,56162,27371
5897,0,56162,28057
1088,0,56162,31155
930,0,56162,31339
6152,0,56162,31459
3980,0,45038,59625
1789,0,45039,641
6821,0,45039,777
762,0,45039,913
9079,0,45039,961
5183,0,45039,985
5002,0,45039,1025
5461,0,45039,1851
2640,0,45039,2043
2067,0,45039,2723
3921,0,45039,2747
0,0,45039,2811
0,0,45039,2867
0,0,45039,2987
0,0,45039,3051
0,0,45039,3737
0,0,45039,3849
0,0,45039,3929
0,0,45039,4097
0,0,45039,5939
0,0,45039,6059
0,0,45039,6131
0,0,45039,6835
0,0,45039,6947
0,0,45039,7019
0,0,45039,7075
0,0,45039,7139
0,0,45039,7211
1036,0,3615.17078277499,9404.60610656819
3581,0,6587.33917318202,1299.57876822774
3462,0,9687.16899010322,13391.2782093576
1118,0,11892.5278329476,15929.3743463129
875,0,15268.1471599721,29338.7888841436
921,0,18764.7154267092,22321.6625601612
1277,0,11794.6934758449,23274.7400780184
1638,0,14629.5692932388,2538.86621971556
2180,0,17939.2293737371,8177.11530689966
718,0,26060.6767425576,1722.10697023032
5340,0,46165.7584826554,13221.4010481657
1919,0,50105.8914946064,6505.53293832968
1116,0,50256.068863616,6269.88149607474
0,0,50377.7142700853,6432.24596702007
4351,0,6011.21205297439,31103.1449566619
1333,0,7648.53294557915,32889.7236515022
6780,0,8615.67233735539,33024.0950615748
1026,0,30028.8247224542,64145.9784126572
1240,0,30417.4864271,64232.6968184939
1341,0,32881.0812429464,48235.3533330804
1603,0,48255.3138164941,28792.0521688683
8613,0,51955.7539672378,38851.8428996423
3575,0,52258.7640318196,39001.5174504078
887,0,5283.96420774322,24342.9327043565
753,0,5660.99014618593,24442.0307774065
1005,0,7873.97301092415,24020.9742128186
1053,0,8167.85246318646,24366.3387646854
1580,0,8040.41618814905,23814.8705558949
843,0,8217.21814884028,22365.7676981422
2337,0,10913.5527156811,16292.086026817
18585,0,11704.9478797409,16450.9910778539
935,0,13071.9868209579,24941.1359691418
4900,0,13148.9230859921,24500.2826528576
1149,0,13536.4453259687,24621.2446397188
5132,0,15487.1694049316,39603.9988302993
339,0,16096.8159488295,39937.8588617716
1476,0,16578.4234362774,39958.0327702858
806,0,16814.6894502082,39610.6179644153
4135,0,17182.7593599665,39764.8624346371
446,0,18256.7551466645,20072.8111720781
1132,0,20551.2130646075,34009.4589904892
955,0,20814.132455964,33344.5078870451
452,0,21097.1847453793,35090.4123529792
862,0,21428.1064759214,33078.2407982427
3513,0,21844.8669303651,35462.46676727
401,0,23670.1884245858,22042.9769131045
649,0,23812.3547249973,30336.6242476487
1060,0,24027.6586462417,30620.2222360689
1234,0,24328.5597315068,30299.6531687966
901,0,24482.2688805347,31074.5053467001
1124,0,24785.9991123677,30849.9336905779
4205,0,29724.5982938135,27823.7966662069
1322,0,32981.6841477244,9526.36788058145
3213,0,33410.1271343345,21970.6930098602
3959,0,33730.6233753637,44969.9075654704
702,0,34022.2348268839,44882.6875560081
4718,0,35457.2372963468,11928.8821383287
1046,0,38071.7497505126,44863.9151561338
930,0,38623.6373511947,13726.5586637773
3610,0,38738.4284783529,40071.5617487051
5704,0,39217.3073321835,40086.226882326
