Volume,Radius,X,Y,friends_100,friends_250,friends_500,friends_1000
5169,36.2805049764638,747.30450764171,10873.4695298897,1,2,6,8
7221,42.8813776656782,821.717213682315,10766.9505608641,1,3,6,9
2825,26.8212666139272,959.851681415929,10781.9869026549,1,5,7,10
7699,44.2779205810662,981.314716196909,10996.6593064034,1,3,7,10
6074,39.3285061875515,1121.85297991439,10847.6562397102,1,4,8,12
8954,47.7505746217962,1119.65568461023,10683.3197453652,1,3,8,10
7576,43.922802257856,1359.31560190074,10838.5258711721,1,2,7,12
10745,52.3086205288943,1541.67724523034,10768.2724988367,1,2,6,12
17747,67.2252663816439,1606.33645123119,10444.4026032569,1,1,3,11
11230,53.4761256774944,1671.95013357079,11898.2550311665,1,1,3,5
5318,36.7996953761892,1734.25122226401,10625.6662279052,1,1,4,10
9246,48.5229282517478,1834.19024443002,12146.763681592,1,2,3,3
2107,23.16340096254,1817.72852396773,18590.7816801139,1,1,3,11
1382,18.7596218022859,1845.83574529667,18825.2952243126,1,1,2,8
3087,28.0374409481231,1877.33138969874,11229.4217687075,1,2,2,9
1898,21.9845793951458,1874.73234984194,18356.9388830348,1,1,6,14
4870,35.2155550371146,1933.03449691992,11085.3012320329,1,2,2,8
6012,39.1272696286051,1947.24251497006,11991.0791749834,1,2,3,4
1183,17.3565110631238,1967.47844463229,18084.2502113271,1,3,6,14
2362,24.5250557783849,2060.83403895004,18087.2154953429,1,3,8,14
2100,23.1248915411244,2172.49428571429,18041.4852380952,1,4,10,14
2138,23.3331787231992,2202.02478952292,17888.6782039289,1,2,10,13
2743,26.4291357074292,2287.89464090412,18289.1115566898,1,1,10,14
3121,28.1914193297125,2308.57321371355,18640.284524191,1,1,2,13
1564,19.9566863379961,2421.22953964194,17992.3746803069,1,4,9,13
1973,22.4147345367393,2454.91586416624,18075.1687785099,1,4,9,13
2693,26.1871498791747,2504.42777571482,17751.6639435574,1,3,6,11
1592,20.1345342892175,2509.74183417085,17922.2010050251,2,5,8,12
1936,22.2035661937774,2555.41167355372,17887.0475206612,2,5,7,12
1780,21.2902155443696,3507.23033707865,17875.2707865169,3,4,4,5
2066,22.936926121095,3525.76476282672,17813.6611810261,2,4,4,5
7836,44.6701355998496,3578.04428279735,17906.7306023481,2,4,4,5
13324,58.2488518239653,3638.32835484839,17781.1653407385,1,4,4,5
2859,26.9821861916259,3681.5834207765,18353.7026932494,1,1,1,5
3001,27.644138162548,5040.1136287904,41921.6894368544,1,1,2,2
16895,65.5917404987862,5150.50245634803,42322.6668836934,1,1,2,2
5039,35.8213736920305,8711.78983925382,39645.0279817424,1,1,1,1
4527,33.9527772620034,9030.82261983654,38655.6792577866,1,2,3,3
1225,17.6619276541411,9112.23591836735,38707.3036734694,1,2,3,3
3375,29.3161507141752,9358.08355555555,38396.4287407407,1,1,3,3
450,10.7047446969166,9637.25555555556,39597.1355555556,1,1,1,2
3114,28.1597867261288,9968.64579319204,39164.4900449583,1,1,1,2
4401,33.4769390368339,10362.8598045899,36266.4769370598,1,2,2,6
2354,24.4834878573563,10487.103653356,36110.9995751912,1,2,2,6
382,9.8628343399738,10889.4947643979,36726.5392670157,1,1,2,6
5558,37.6209127737168,10961.5593738755,36513.5275278877,1,1,3,6
6189,39.6990668463779,11119.3916626272,36305.7254806916,1,1,3,6
4038,32.0666221533874,11136.9990094106,35894.6020307083,1,1,2,6
3600,30.2775902642419,11659.6961111111,23662.3233333333,1,2,4,4
2370,24.5665533643706,11662.2097046414,23785.0447257384,1,2,4,4
687,13.2266062709454,11942.135371179,23759.711790393,2,2,4,4
1193,17.4297147243955,11982.2531433361,23792.1232187762,2,2,4,4
3800,31.107266900175,15542.0057894737,33809.3610526316,1,1,1,1
1280,18.0540666735282,18663.865625,18052.0453125,1,2,2,4
1829,21.581265613122,18691.7277200656,17377.6495352652,1,2,2,4
5530,37.5260301188001,18777.1363471971,17462.9018083183,1,2,2,4
1520,19.6739630374637,18833.2506578947,17982.1710526316,1,2,2,4
5350,36.9102467191243,19575.3435514019,14186.0263551402,1,2,2,2
1705,20.8368588024849,19687.3255131965,14021.4304985337,1,2,2,2
3831,31.2338940764049,22822.5792221352,32761.6570086139,1,1,2,2
4617,34.2886190390988,23112.9098982023,32506.1713233702,1,1,2,2
8502,46.5297380378148,26126.4114326041,3470.67737003058,1,1,1,1
3571,30.1553922682139,27571.6737608513,12198.4990198824,1,1,1,2
2873,27.0481689288725,27712.4977375566,33682.8760877132,1,1,2,2
7315,43.1595812531533,27983.0412850308,11665.1447710185,1,1,1,3
2631,25.883945766433,28076.8183200304,33901.1231470924,1,1,2,2
3899,31.5098745948707,28611.1518338035,11605.8868940754,1,1,1,2
3616,30.3447992043525,28811.6960730089,25819.7547013274,1,2,2,3
4841,35.110547236017,28847.8175996695,6008.57095641396,1,1,2,2
5572,37.668264476252,28916.7422828428,25797.9185211773,1,2,2,3
1402,18.8948767750345,28955.4764621969,9160.65620542083,1,1,1,1
10104,50.7243774924919,29015.3986539984,6391.84134996041,1,1,2,2
1667,20.6033508006514,29273.9982003599,13454.0017996401,1,2,5,9
13781,59.2393689466646,29376.2291560845,30435.4172411291,1,3,4,6
1911,22.0597405695937,29420.4233385662,13165.3029827316,1,4,8,9
5038,35.8178191027197,29457.4932512902,31147.0527987297,1,1,1,6
5726,38.1852579751756,29491.1245197345,25682.412679008,1,1,1,3
3256,28.7946799171572,29468.7208230958,30558.1139434889,1,4,5,6
2033,22.7530041728409,29479.7589768815,13030.6871618298,2,4,7,9
1754,21.1341532192112,29475.8015963512,13096.7742303307,2,4,8,9
1753,21.1281278012073,29479.2390188249,13396.0752994866,1,3,9,9
2157,23.4366281618911,29571.1687528975,30600.3208159481,1,3,5,6
1347,18.5205489484424,29572.2991833705,30452.0400890869,1,4,5,6
1628,20.360913431518,29606.3464373464,13345.2948402948,1,3,9,9
1779,21.2842343065653,29608.3974142777,13091.8999437886,1,5,8,9
2034,22.7585994032643,29730.2679449361,13137.3210422812,1,2,8,9
2814,26.768997287477,29766.4012082445,30833.6926083866,1,1,4,6
2090,23.0697665722759,29811.2373205742,13411.6397129187,1,2,5,9
11177,53.3497861129825,30711.6959828219,4763.38793951865,1,1,1,1
1290,18.1244531653143,38684.8286821705,10194.6395348837,1,1,2,2
1323,18.3548136339469,38740.6946334089,10440.589569161,1,1,2,2
3133,28.2455642310621,76.4580274497287,37229.955633578,1,1,1,1
2230,23.8299147491526,2359.42735426009,38949.5627802691,1,1,1,1
2026,22.7137989672949,2727.0824284304,41097.8958538993,2,3,7,15
1207,17.5316863449888,2761.31317315659,41172.5352112676,2,4,8,16
748,13.8013273235722,2857.66042780749,41063.1978609626,1,4,8,16
1097,16.7137295692761,2868.24612579763,41265.4676390155,1,5,12,16
4277,33.0019561021231,2942.35538929156,41350.89385083,1,5,14,16
1502,19.5571255361938,3018.49201065246,41244.8062583222,1,5,15,16
1009,16.0293399779141,3065.8810703667,41463.7175421209,2,7,14,16
1673,20.6403961121967,3097.38553496712,41103.034070532,1,2,13,16
1058,16.4139418686055,3113.18052930057,41465.9990548204,3,8,13,16
935,15.4303530376163,3167.0449197861,41505.4352941176,2,7,13,16
1582,20.0711980697268,3171.95132743363,41600.7667509482,2,5,11,16
1164,17.216566615163,3194.03092783505,41335.9810996564,1,7,14,16
1074,16.537589129287,3214.25139664804,41579.7122905028,2,6,11,16
987,15.8536269077685,3272.65957446808,41391.9888551165,1,6,13,16
2046,22.8256351873421,3380.24046920821,41421.8475073314,1,3,11,16
1025,16.1559310060024,3435.75804878049,41645.083902439,1,1,9,15
6978,42.153684401632,4144.73832043565,45536.3386357122,1,3,5,7
9997,50.4550804750472,4252.69750925278,45826.1050315095,1,1,5,7
5352,36.9171451860043,4241.58688340807,45462.3393124066,2,3,5,7
4383,33.4084088952893,4325.34223134839,45477.5156285649,2,3,5,7
2098,23.1138770648906,4551.02192564347,45413.1887511916,1,1,6,7
1762,21.1822948606772,4646.11293984109,45831.113507378,1,2,4,7
1556,19.9055807833276,4699.8322622108,45760.7776349614,1,2,3,7
1364,18.6370530879684,5217.01612903226,21550.9633431085,2,2,2,3
2020,22.6801405655478,5253.17277227723,21474.3128712871,2,2,2,3
2306,24.23258298308,5787.34258456201,21986.4340849957,1,2,2,4
1796,21.3856878418458,5957.7004454343,22030.4615812918,1,2,2,2
5396,37.0685866560648,6205.87194217939,48356.0029651594,1,2,2,2
2344,24.4314285004345,6262.41126279864,48472.6591296928,1,2,2,2
7258,42.9910981848285,6552.53540920364,25340.6614769909,1,1,1,2
7770,44.4816170178023,6957.45572715573,25510.1723294723,1,1,1,2
5622,37.8368939541847,10268.3740661686,45731.6458555674,1,1,1,1
4420,33.5491245421678,10261.8746606335,23543.8726244344,1,1,3,3
1654,20.5228565603912,10384.5187424426,28498.6100362757,2,3,3,7
1857,21.7458310237765,10408.0080775444,28413.2924071082,2,3,3,7
6092,39.3867371243839,10435.4932698621,23733.4714379514,1,2,3,3
1755,21.1401769198378,10435.8603988604,28494.7794871795,3,3,3,7
1048,16.336187088072,10439.3673664122,14543.5028625954,1,2,6,9
1955,22.3122536287003,10504.9805626598,23536.4271099744,1,2,3,3
1462,19.2949538190834,10541.60875513,14508.987004104,1,3,8,13
1325,18.3686820255243,10653.1298113208,14445.0301886792,1,4,8,13
2257,23.9737425216309,10698.9361984936,14324.7337173239,2,5,7,13
4110,32.3512427237703,10745.2798053528,14839.0309002433,1,1,4,12
2573,25.5970519732393,10751.2316362223,14373.0753983677,2,5,7,13
3276,28.8829802775004,10813.1117216117,14210.7023809524,1,4,6,13
979,15.7892464310095,10862.6527068437,14312.986721144,1,4,8,13
1709,20.8612865468666,10895.60093622,28739.878876536,1,1,3,12
9309,48.687959336862,11152.3138897841,28202.8434847997,1,2,6,16
2106,23.1579035372905,11155.3955365622,28711.5987654321,2,3,4,14
2882,27.0905015380917,11174.0170020819,28657.761276891,2,3,4,15
5256,36.5845515132495,11215.3396118721,27943.0846651446,1,1,7,13
2909,27.2171043119381,11264.7466483328,14114.7700240633,1,2,5,11
2498,25.2212306707997,11285.4615692554,14363.740592474,1,4,6,13
2017,22.6632926192591,11284.9191869113,14231.0644521567,1,4,6,12
1742,21.0617344344128,11314.55510907,28215.2313432836,2,4,8,13
2021,22.6857537671102,11337.1316180109,28631.5047006432,1,3,5,12
1987,22.4941191220673,11354.6623049824,14496.5128334172,2,3,5,12
1697,20.7879171992558,11356.889216264,14433.3529758397,2,4,5,12
2551,25.4873854234576,11396.7185417483,28235.7020776166,3,4,9,13
1888,21.9265877895307,11443.9454449153,28202.3320974576,2,4,8,13
3822,31.1971842959514,11489.453689168,28062.6645735217,1,4,9,12
7137,42.6312341617619,11604.3553313717,27922.8091635141,1,4,8,11
7183,42.7683987304474,11651.9702074342,24189.0027843519,1,1,1,1
4995,35.6646366193521,11694.773973974,27774.6056056056,1,2,4,9
1564,19.9566863379961,11729.3248081841,28062.5984654731,1,2,6,12
2005,22.5957752121674,12188.6827930175,16009.1157107232,1,1,1,2
1085,16.6220630851748,12208,14976,3,3,3,3
1284,18.0822541484183,12250,14906.5,3,3,3,3
1085,16.6220630851748,12288,14945,3,3,3,3
5239,36.5253390808833,12410.5105936247,26173.9431189158,1,1,1,1
1987,22.4941191220673,12434.0578761953,21026.1268243583,1,1,2,3
1314,18.2922757566247,12711.2252663623,15907.8432267884,1,1,1,2
1972,22.4090534481836,12817.5512170385,21079.3975659229,1,2,3,3
1056,16.3984204071022,12988.4545454545,21045.8589015152,1,2,2,3
2851,26.9444092235846,13045.188004209,24783.546124167,1,2,2,2
4333,33.2173055720583,13217.9485345027,24747.0477729056,1,2,2,2
2375,24.5924537968297,15137.7069473684,31037.6143157895,1,1,2,2
6090,39.3802712723951,15145.8336617406,31430.5054187192,1,1,2,2
1612,20.260612755359,15869.1433002481,27004.1972704715,1,3,3,4
8764,47.2412348908429,16024.6725239617,26971.4220675491,1,3,4,4
10483,51.6669529727827,16047.5690165029,27114.5102546981,1,3,4,4
7512,43.7368848000187,16309.0023961661,36342.5416666667,1,2,2,2
2191,23.6206174454215,16375.4057507987,36233.3792788681,1,2,2,2
3935,31.6550078456249,16435.0310038119,27083.7946632783,1,1,3,4
2465,25.0540834107823,18068.2478701826,33719.2036511156,1,1,1,1
2255,23.9631182168673,18196.0128603104,25402.9073170732,1,1,1,1
2708,26.2599797682436,20987.8570901034,23019.3353028065,1,1,5,15
3449,29.6357999378845,21046.1504783995,22780.3505363874,1,1,4,15
7518,43.7543481206587,21196.5022612397,23217.1633413142,1,3,6,16
4154,32.5239513861089,21257.4015406837,23299.3305247954,1,3,6,15
10104,50.7243774924919,21412.3490696754,22613.7962193191,1,2,9,24
1127,16.9407258812397,21375.0621118012,22883.6628216504,1,1,10,24
3734,30.8359415618888,21396.73620782,23196.7999464381,1,3,7,21
2710,26.269675164464,21456.8221402214,23430.4376383764,1,1,6,14
1235,17.7338706307897,21562.4340080972,22395.0963562753,1,2,11,20
5340,36.8757350269409,21609.7880149813,23035.3576779026,1,1,9,24
