Volume,Radius,X,Y,friends_100,friends_250,friends_500,friends_1000
364,9.62766009250014,12872.2912087912,13159.510989011,3,32,120,271
476,11.0096505239171,12962.5840336134,13324.0336134454,5,32,106,268
775,14.0482073388013,12892.0529032258,13246.6129032258,2,31,113,267
611,12.4735669464126,12953.5646481178,13346.4222585925,4,30,105,267
851,14.720916089494,12899.8625146886,13117.6627497062,6,32,121,266
904,15.1723996021762,12962.2920353982,13395.5807522124,6,24,97,266
646,12.8258547153702,13009.3034055728,13462.7383900929,8,19,83,266
879,14.9611333783387,12929.1797497156,13151.0693970421,8,33,117,265
849,14.7036075401933,12971.7020023557,13486.7126030624,5,17,80,265
755,13.8657553438321,12970.1629139073,13244.4874172185,6,33,114,265
1898,21.9845793951458,13019.2154899895,13322.8082191781,7,34,103,264
771,14.0119070007677,13009.1595330739,13504.9208819715,5,17,77,264
629,12.6559683441325,12950.1478537361,13461.3147853736,5,22,88,263
937,15.4468472732584,13045.924226254,13393.0949839915,6,25,94,262
857,14.7727200598809,13052.0851808635,13507.3127187865,4,14,75,261
1059,16.4216970978918,12742.4305949009,13064.3559962229,4,22,101,259
980,15.7973083393372,12716.2724489796,13124.9448979592,4,24,104,258
327,9.12523239296839,12975.9082568807,13176.125382263,9,34,119,258
423,10.3786350492054,12812.9172576832,13340.9432624113,3,23,104,256
917,15.2811037724514,12918.774263904,13066.7088331516,8,32,112,256
841,14.6341686277169,13012.3186682521,13217.6730083234,8,36,116,256
769,13.9937215200342,13030.5097529259,13260.4135240572,7,36,107,256
4463,33.7119210017852,12714.1270445888,13187.307416536,2,27,105,255
561,11.9523000681578,13078.0267379679,13421.8609625668,5,23,86,255
760,13.9115926766041,12956.0460526316,13101.075,9,35,116,254
993,15.9017412123454,12760.4874118832,13016.752265861,3,24,95,253
3690,30.6537238197017,12659.2886178862,13099.0398373984,5,22,90,252
325,9.09728368293446,12984.2307692308,13145.2123076923,8,37,116,252
488,11.1475638399675,12770.493852459,13340.8729508197,3,26,100,251
938,15.4550877898612,12818.7590618337,13432.8592750533,3,26,93,251
